"event_facebook_id","event_tag_id"
"1000321563316078","1"
"1000321563316078","2"
"1000321563316078","3"
"1000321563316078","4"
"1000321563316078","5"
"1000321563316078","6"
"1000321563316078","7"
"1000321563316078","8"
"1000321563316078","9"
"1000321563316078","10"
"1000321563316078","11"
"1000321563316078","12"
"1000321563316078","13"
"1000321563316078","14"
"1000321563316078","15"
"1000321563316078","16"
"1000321563316078","17"
"1000321563316078","18"
"1000321563316078","19"
"1000321563316078","20"
"1000321563316078","21"
"1000321563316078","22"
"1000321563316078","23"
"1000321563316078","24"
"1000321563316078","25"
"1000321563316078","26"
"1000321563316078","27"
"1000321563316078","28"
"1000321563316078","29"
"1000321563316078","30"
"1000321563316078","31"
"1000321563316078","32"
"1000321563316078","33"
"1000321563316078","34"
"1000321563316078","35"
"1000321563316078","36"
"1000321563316078","37"
"1000321563316078","38"
"1000321563316078","39"
"1000321563316078","40"
"1000321563316078","41"
"1000321563316078","42"
"1000321563316078","43"
"1000321563316078","44"
"1000321563316078","45"
"1000321563316078","46"
"1000321563316078","47"
"1000321563316078","48"
"1000519489971322","2"
"1000519489971322","5"
"1000519489971322","6"
"1000519489971322","22"
"1000519489971322","32"
"1000566356639241","2"
"1000566356639241","4"
"1000566356639241","6"
"1000566356639241","25"
"1000566356639241","38"
"1001073743249429","3"
"1001073743249429","4"
"1001073743249429","6"
"1001073743249429","14"
"1001073743249429","38"
"1001137926666751","3"
"1001137926666751","4"
"1001137926666751","7"
"1001137926666751","25"
"1001137926666751","44"
"1001211469898481","2"
"1001211469898481","4"
"1001211469898481","6"
"1001211469898481","22"
"1001211469898481","25"
"1001211469898481","32"
"1001318079887923","2"
"1001318079887923","4"
"1001318079887923","6"
"1001318079887923","28"
"1001318079887923","46"
"1001318079887923","32"
"1002219356471228","2"
"1002219356471228","4"
"1002219356471228","6"
"1002219356471228","9"
"1002219356471228","22"
"1002219356471228","32"
"1002219356471228","30"
"1002551656421581","2"
"1000474419998733","2"
"1000474419998733","4"
"1000474419998733","6"
"1000474419998733","28"
"1000474419998733","16"
"1000474419998733","46"
"1002932369783088","2"
"1002932369783088","49"
"1002932369783088","50"
"1002932369783088","51"
"1003144686394044","2"
"1003144686394044","4"
"1003144686394044","7"
"1003144686394044","24"
"1003144686394044","26"
"1003144686394044","31"
"1003144686394044","46"
"1003144686394044","51"
"1003506093022823","3"
"1003506093022823","4"
"1003506093022823","6"
"1003506093022823","28"
"1003506093022823","46"
"1003506093022823","51"
"1003611776352156","2"
"1003611776352156","4"
"1003611776352156","49"
"1003611776352156","6"
"1003611776352156","25"
"1003611776352156","38"
"1003611776352156","42"
"1003887753021814","2"
"1003887753021814","5"
"1003887753021814","6"
"1003887753021814","52"
"1003887753021814","40"
"1003887753021814","38"
"1003887753021814","53"
"1003887753021814","51"
"1003887753021814","54"
"1004093266272074","2"
"1004093266272074","5"
"1004093266272074","55"
"1004093266272074","51"
"1004093266272074","6"
"1004093266272074","16"
"1004093266272074","40"
"1004811516252132","1"
"1004811516252132","4"
"1004811516252132","6"
"1004811516252132","10"
"1004811516252132","49"
"1004811516252132","32"
"1005042982848847","2"
"1005042982848847","4"
"1005042982848847","6"
"1005042982848847","7"
"1005042982848847","29"
"1005042982848847","51"
"1005042982848847","35"
"1005086709560808","2"
"1005086709560808","4"
"1005086709560808","6"
"1005086709560808","29"
"1005086709560808","26"
"1005086709560808","52"
"1005086709560808","38"
"1005086709560808","49"
"1005175772941644","2"
"1005175772941644","4"
"1005175772941644","6"
"1005175772941644","33"
"1005175772941644","49"
"1005175772941644","56"
"1005433959566493","1"
"1005433959566493","4"
"1005433959566493","6"
"1005433959566493","25"
"1005433959566493","26"
"1005433959566493","31"
"1005433959566493","37"
"1005433959566493","49"
"1005480782810928","2"
"1005480782810928","4"
"1005480782810928","6"
"1005480782810928","28"
"1005480782810928","46"
"1005480782810928","51"
"1005655136140675","3"
"1005655136140675","5"
"1005655136140675","6"
"1005655136140675","24"
"1005655136140675","48"
"1005655136140675","51"
"1005669049486936","2"
"1005669049486936","4"
"1005669049486936","6"
"1005669049486936","25"
"1005669049486936","57"
"1005669049486936","31"
"1005669049486936","41"
"1005669049486936","35"
"1005669049486936","44"
"1005669049486936","51"
"100668907024083","2"
"100668907024083","4"
"100668907024083","6"
"100668907024083","49"
"100668907024083","46"
"100668907024083","31"
"100668907024083","41"
"100668907024083","25"
"100668907024083","28"
"100671793684638","26"
"100671793684638","37"
"100671793684638","50"
"100671793684638","7"
"100671793684638","2"
"100671793684638","4"
"1006756009344751","27"
"1006756009344751","4"
"1006756009344751","6"
"1006756009344751","2"
"1006756009344751","31"
"1006756009344751","49"
"1006790309369118","3"
"1006790309369118","5"
"1006790309369118","6"
"1006790309369118","8"
"1006790309369118","40"
"1006790309369118","51"
"1007009379407921","3"
"1007009379407921","4"
"1007009379407921","18"
"1007009379407921","33"
"1007009379407921","51"
"100741577016748","2"
"100741577016748","4"
"100741577016748","6"
"100741577016748","18"
"100741577016748","40"
"100741577016748","49"
"1007467839351249","2"
"1007467839351249","4"
"1007467839351249","6"
"1007467839351249","25"
"1007467839351249","42"
"1007467839351249","49"
"100755470299906","2"
"100755470299906","5"
"100755470299906","6"
"100755470299906","21"
"100755470299906","47"
"100755470299906","51"
"1007805489229627","2"
"1007805489229627","4"
"1007805489229627","6"
"1007805489229627","22"
"1007805489229627","35"
"1007805489229627","32"
"1007805489229627","38"
"1007805489229627","46"
"1007805489229627","48"
"1007805489229627","51"
"100860333400630","2"
"100860333400630","6"
"100860333400630","27"
"100860333400630","46"
"100860333400630","30"
"100860333400630","49"
"1008756232470721","2"
"1008756232470721","27"
"1008756232470721","24"
"1008761142539977","1"
"1008761142539977","4"
"1008761142539977","6"
"1008761142539977","26"
"1008761142539977","25"
"1008761142539977","22"
"1008761142539977","16"
"1008761142539977","40"
"1008761142539977","51"
"1009252175767212","1"
"1009252175767212","4"
"1009252175767212","6"
"1009252175767212","24"
"1009252175767212","27"
"1009252175767212","35"
"1009252175767212","49"
"1009268875852753","3"
"1009268875852753","5"
"1009268875852753","6"
"1009268875852753","14"
"1009268875852753","39"
"1009268875852753","29"
"1009268875852753","49"
"100950866765022","3"
"100950866765022","4"
"100950866765022","6"
"100950866765022","18"
"100950866765022","40"
"100950866765022","51"
"1009535365747237","3"
"1009535365747237","4"
"1009535365747237","7"
"1009535365747237","16"
"1009535365747237","40"
"1009535365747237","51"
"1009913385771441","3"
"1009913385771441","4"
"1009913385771441","7"
"1009913385771441","8"
"1009913385771441","40"
"1009913385771441","51"
"1010075019009472","3"
"1010075019009472","5"
"1010075019009472","6"
"1010075019009472","16"
"1010075019009472","40"
"1010075019009472","51"
"1010153595695949","3"
"1010153595695949","4"
"1010153595695949","7"
"1010153595695949","8"
"1010153595695949","40"
"1010153595695949","51"
"101021280256618","2"
"101021280256618","4"
"101021280256618","6"
"101021280256618","29"
"101021280256618","26"
"101021280256618","35"
"101021280256618","38"
"101021280256618","49"
"1007830355923194","1"
"1007830355923194","4"
"1007830355923194","6"
"1007830355923194","27"
"1007830355923194","59"
"1007830355923194","51"
"1008508969253318","2"
"1008508969253318","5"
"1008508969253318","6"
"1008508969253318","19"
"1008508969253318","46"
"1008508969253318","28"
"1008508969253318","51"
"1010285205658843","2"
"1010285205658843","6"
"1010285205658843","19"
"1010285205658843","28"
"1010285205658843","46"
"1010570052305144","3"
"1010570052305144","4"
"1010570052305144","6"
"1010570052305144","12"
"1010570052305144","51"
"101059480239453","2"
"101059480239453","4"
"101059480239453","7"
"101059480239453","14"
"101059480239453","51"
"1010837318985826","1"
"1010837318985826","4"
"1010837318985826","6"
"1010837318985826","26"
"1010837318985826","59"
"1010837318985826","51"
"1010909062331586","3"
"1010909062331586","5"
"1010909062331586","6"
"1010909062331586","8"
"1010909062331586","40"
"1010909062331586","49"
"1011421725600905","2"
"1011421725600905","4"
"1011421725600905","6"
"1011421725600905","19"
"1011421725600905","28"
"1011421725600905","46"
"1011421725600905","51"
"1011473772279738","1"
"1011473772279738","5"
"1011473772279738","6"
"1011473772279738","12"
"1011473772279738","35"
"1011473772279738","49"
"1011786448914980","1"
"1011786448914980","4"
"1011786448914980","6"
"1011786448914980","25"
"1011786448914980","49"
"101225040052676","2"
"101225040052676","4"
"101225040052676","6"
"101225040052676","28"
"101225040052676","46"
"101225040052676","50"
"1012283265463262","2"
"1012283265463262","4"
"1012283265463262","7"
"1012283265463262","23"
"1012283265463262","42"
"1012283265463262","49"
"1012317732158251","1"
"1012317732158251","4"
"1012317732158251","6"
"1012317732158251","26"
"1012317732158251","29"
"1012317732158251","44"
"1012317732158251","51"
"1012347065451584","2"
"1012347065451584","4"
"1012347065451584","7"
"1012347065451584","22"
