"id","nazwa","facebook_id","isPublic"
"121","ÆSC","1499681223658290","0"
"122","edma.art impresariat","1501900440055815","0"
"123","Rawa Blues Festival","150882418261434","0"
"124","Królestwo","151113468608967","0"
"125","Bloki i familoki","1511740559154964","0"
"126","Międzynarodowe Pokazy Pirotechniczne","1515191665418973","0"
"127","MDK \"Południe\" w Katowicach","151621484856829","1"
"128","Life Never Ends","1517219058570340","0"
"129","Absurdalna","1517299331891217","0"
"130","Chór Kameralny Akademii Muzycznej w Katowicach","152328521494181","1"
"131","Klub Filmowy Ambasada","152405618149002","0"
"132","Teatr Korez","152447374782646","0"
"133","Intaglio Studio - ASP Katowice","152542031458397","1"
"134","Sala Teatralno-Kinowa Pałacu Młodzieży w Katowicach","1527625454187954","1"
"135","Uniwersytet Ekonomiczny w Katowicach","152894901396717","1"
"136","Klubokawiarnia Aquarium","1537281259831516","0"
"137","Gigacon","153863634797942","0"
"138","Katofonia Recording - Music Outbreak","1552346961754671","0"
"139","BiancaYoga","1561400907408113","0"
"140","Jazz Club Fantom - formal venue","156462371162583","0"
"141","Coca-Cola","1579819912230855","0"
"142","Burton Snowboards Poland","158137974248722","0"
"143","Mia100","158148964539753","0"
"144","Beauty Fair Branżowe Targi Kosmetyczne","1581886355470923","0"
"145","Letni festiwal filmów górskich i podróżniczych w Katowicach","1584145608513372","0"
"146","Katowice In Your Pocket","158559468817","0"
"147","Silesia Wedding Day","1587026781615808","0"
"148","Ars Cameralis","158751338815","1"
"149","Gospel Life","1589083757988850","0"
"150","Jezus Chytrus Zmartwychzwiał","1591842991106472","0"
"151","Warsztaty Gospel w Tychach","1594586800842745","0"
"152","Zabytkowa Kopalnia Guido","159513627401809","1"
"153","ReklamAkcja","1595273537367512","0"
"154","Chór Uniwersytetu Ekonomicznego w Katowicach","161479873879018","1"
"155","GALOP","1616002318619223","0"
"156","Pozdrowienia z KATO","162203877255802","0"
"157","Teatr T.C.R.","162548910514725","0"
"158","Roślinne Porady","1626794704272371","0"
"159","Filharmonia Śląska","162918147071136","1"
"160","Fabryka Porcelany","1636552936633222","0"
"161","Filharmonia Częstochowska","165355103513943","1"
"162","koszutka.eu","1657422507864066","0"
"163","Stowarzyszenie Pisarzy Polskich Oddział Katowice","165799430111660","0"
"164","Rozkręcamy Katowice","166730966683838","0"
"165","Przystanek Historia Centrum Edukacyjne IPN w Katowicach im. Henryka Sławika","1669510493296167","1"
"166","Czwartkowe Spotkania Social Media","168013103294102","0"
"167","Spodek","1682866461987044","0"
"168","Miejska Biblioteka Publiczna w Katowicach, Filia nr 19","168380019876357","1"
"169","{oh!} Orkiestra Historyczna!","168886853230925","0"
"170","Centrum Scenografii Polskiej","170544883005037","1"
"171","Międzynarodowe Centrum Kongresowe w Katowicach","1711193205765060","0"
"172","Oczy i Obiektywy Śląsk","1717590318527923","0"
"173","Katowice 2050","1725101361085882","0"
"174","Teatr Bez Sceny Siedziba w budowie ul. 3 Maja 11 Katowice","173814996149257","0"
"175","Na Górze","174254502600668","0"
"176","Kolonia Artystów","174333192610686","0"
"177","Lato w teatrze Katowice","1746039972202430","1"
"178","Regionalny Instytut Kultury - Śląskie Centrum Dziedzictwa Kulturowego","175672009134760","1"
"179","Burton Europe","175783052506024","0"
"180","Sonda II  Poeton","175955342520575","0"
"181","Stowarzyszenie Music Everywhere","176081729266235","0"
"182","GOSPEL SOUND - Katowicki Chór Gospel","176377985730318","0"
"183","Kalarus&Starowicz&Ciślak/ASP Katowice","177153089757","1"
"184","Make Things Work","1777391309208168","0"
"185","Warsztaty fotograficzne w Galerii BWA w Katowicach","177826932300902","1"
"186","Stowarzyszenie na rzecz Dzieci i Młodzieży Korczak","178173312343316","0"
"187","Malvi Na","1791765011112234","0"
"188","Katowickie Towarzystwo Operowe","179295012162967","0"
"189","Sukces To Ja","1793630577585895","0"
"190","Katowice Miasto Ogrodów","179603073902","1"
"191","Napraw Sobie Miasto","179796392050567","0"
"192","Klub Jagielloński - Katowice","179916022373638","0"
